Income (Median family income) for Georgia by County,,,
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023",,,
Sorted by Value,,,
,,,
County,FIPS,Value (Dollars),Rank within US (of 3139 counties)
Georgia,13000,"90,337",33 of 52
United States,0,"96,922",N/A
Randolph County,13243,"39,353","3,128"
Atkinson County,13003,"44,737","3,111"
Ben Hill County,13017,"47,699","3,096"
Baker County,13007,"50,682","3,060"
Jeff Davis County,13161,"51,290","3,054"
Stewart County,13259,"51,806","3,046"
Jenkins County,13165,"52,146","3,040"
Webster County,13307,"52,500","3,035"
Hancock County,13141,"52,730","3,031"
Sumter County,13261,"53,246","3,023"
Taliaferro County,13265,"53,523","3,020"
Appling County,13001,"53,535","3,018"
Charlton County,13049,"55,139","2,991"
Taylor County,13269,"55,175","2,990"
Ware County,13299,"55,394","2,985"
Dougherty County,13095,"55,548","2,982"
Warren County,13301,"56,603","2,962"
Chattooga County,13055,"56,615","2,961"
Turner County,13287,"56,789","2,956"
Lanier County,13173,"56,842","2,954"
Macon County,13193,"57,467","2,935"
Burke County,13033,"57,594","2,934"
Emanuel County,13107,"57,762","2,929"
Cook County,13075,"57,935","2,923"
Chattahoochee County,13053,"58,294","2,917"
Talbot County,13263,"58,353","2,914"
Jefferson County,13163,"58,434","2,913"
Washington County,13303,"58,977","2,898"
Bacon County,13005,"59,143","2,894"
Dodge County,13091,"59,725","2,871"
Telfair County,13271,"60,016","2,861"
Coffee County,13069,"60,314","2,853"
Early County,13099,"60,495","2,845"
Crisp County,13081,"60,633","2,837"
McDuffie County,13189,"61,579","2,796"
Colquitt County,13071,"61,639","2,790"
Wheeler County,13309,"61,652","2,788"
Johnson County,13167,"61,849","2,770"
Terrell County,13273,"61,971","2,766"
Wayne County,13305,"62,080","2,759"
Wilcox County,13315,"62,254","2,752"
Evans County,13109,"62,261","2,751"
Montgomery County,13209,"62,457","2,745"
Wilkinson County,13319,"62,500","2,743"
Pulaski County,13235,"62,716","2,734"
Lincoln County,13181,"63,201","2,712"
Tattnall County,13267,"63,236","2,709"
Decatur County,13087,"63,281","2,706"
Quitman County,13239,"63,598","2,689"
Marion County,13197,"63,705","2,682"
Richmond County,13245,"63,861","2,675"
Mitchell County,13205,"64,286","2,653"
Berrien County,13019,"64,401","2,647"
Laurens County,13175,"64,909","2,626"
Liberty County,13179,"64,921","2,625"
Clayton County,13063,"65,181","2,609"
Fannin County,13111,"65,360","2,602"
Grady County,13131,"65,887","2,582"
Calhoun County,13037,"65,921","2,580"
Worth County,13321,"66,528","2,553"
Franklin County,13119,"66,697","2,546"
Upson County,13293,"66,773","2,540"
Meriwether County,13199,"67,010","2,525"
Elbert County,13105,"67,236","2,509"
Tift County,13277,"67,383","2,498"
Bibb County,13021,"67,657","2,483"
McIntosh County,13191,"67,694","2,482"
Dooly County,13093,"67,696","2,481"
Wilkes County,13317,"67,989","2,469"
Brooks County,13027,"68,181","2,454"
Toombs County,13279,"68,349","2,443"
Polk County,13233,"68,413","2,439"
Treutlen County,13283,"68,506","2,436"
Seminole County,13253,"68,607","2,429"
Candler County,13043,"69,191","2,402"
Screven County,13251,"69,411","2,390"
Brantley County,13025,"69,752","2,373"
Echols County,13101,"69,766","2,371"
Bleckley County,13023,"70,000","2,358"
Long County,13183,"70,224","2,346"
Twiggs County,13289,"70,598","2,327"
Muscogee County,13215,"71,311","2,259"
Clinch County,13065,"71,476","2,249"
Troup County,13285,"71,540","2,243"
Stephens County,13257,"71,542","2,242"
Irwin County,13155,"71,866","2,215"
Walker County,13295,"72,472","2,172"
Jasper County,13159,"72,813","2,145"
Pierce County,13229,"73,239","2,118"
Whitfield County,13313,"73,554","2,101"
Lowndes County,13185,"73,604","2,096"
Butts County,13035,"73,793","2,075"
Spalding County,13255,"73,935","2,061"
Madison County,13195,"73,943","2,059"
Baldwin County,13009,"73,995","2,055"
Towns County,13281,"74,021","2,052"
Crawford County,13079,"74,128","2,047"
Hart County,13147,"74,403","2,026"
Dade County,13083,"74,767","2,010"
Miller County,13201,"75,184","1,977"
Murray County,13213,"75,358","1,961"
Floyd County,13115,"75,375","1,958"
Heard County,13149,"75,685","1,940"
Glascock County,13125,"75,845","1,927"
Gordon County,13129,"75,902","1,922"
Clay County,13061,"76,042","1,914"
Schley County,13249,"76,818","1,848"
Bulloch County,13031,"77,052","1,825"
Rabun County,13241,"77,382","1,799"
Habersham County,13137,"78,671","1,694"
Camden County,13039,"80,200","1,578"
Clarke County,13059,"80,356","1,570"
Rockdale County,13247,"80,675","1,548"
Newton County,13217,"80,856","1,537"
Gilmer County,13123,"81,685","1,484"
Haralson County,13143,"81,777","1,474"
Lamar County,13171,"81,813","1,469"
Thomas County,13275,"82,808","1,385"
Glynn County,13127,"82,831","1,383"
Banks County,13011,"83,913","1,302"
Union County,13291,"83,996","1,292"
Catoosa County,13047,"84,256","1,272"
Jones County,13169,"84,587","1,251"
Putnam County,13237,"84,754","1,240"
Oglethorpe County,13221,"85,174","1,194"
Carroll County,13045,"85,249","1,190"
Chatham County,13051,"85,265","1,187"
White County,13311,"85,799","1,144"
Barrow County,13013,"86,369","1,116"
Pickens County,13227,"87,302","1,061"
Peach County,13225,"87,400","1,055"
Lumpkin County,13187,"87,401","1,054"
Douglas County,13097,"89,242",943
Henry County,13151,"90,093",899
Hall County,13139,"90,997",858
Bartow County,13015,"92,489",793
Houston County,13153,"92,678",781
Jackson County,13157,"95,013",667
Morgan County,13211,"96,270",605
Walton County,13297,"96,431",597
Gwinnett County,13135,"97,369",557
Effingham County,13103,"97,943",527
Lee County,13177,"99,590",478
DeKalb County,13089,"101,059",443
Greene County,13133,"101,615",431
Monroe County,13207,"102,056",415
Pike County,13231,"102,868",393
Dawson County,13085,"103,003",387
Paulding County,13223,"104,039",363
Harris County,13145,"104,333",359
Bryan County,13029,"107,896",294
Coweta County,13077,"108,944",275
Columbia County,13073,"110,499",252
Cherokee County,13057,"118,861",170
Cobb County,13067,"119,399",162
Fulton County,13121,"123,181",138
Fayette County,13113,"124,983",126
Oconee County,13219,"137,986",58
Forsyth County,13117,"153,330",29
,,,
Suggested Citation:,,,
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 12/3/2025. Available from https://hdpulse.nimhd.nih.gov,,,
,,,
Notes:,,,
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity.",,,
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).,,,
"For more information about Income (Median family income), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#income.",,,
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]",,,
