oneline,county_fips,county_name,lat,lon,status
"0404 FOREST DR, STATESBORO, GA, 30460",,,,,no_match
"0404 FOREST DR., STATESBORO, GA, 60460",,,,,no_match
"1 BALTIMORE PL NW STE 400, ATLANTA, GA, 30308",13121,Fulton County,33.768010370275,-84.388577947224,matched
"1 BALTIMORE PL NW, ATLANTA, GA, 30308",13121,Fulton County,33.768010370275,-84.388577947224,matched
"1 BALTIMORE PLACE, ATLANTA, GA, 30308",13121,Fulton County,33.768010370275,-84.388577947224,matched
"1 CNN CTR NW, 10 NORTH TU, ATLANTA, GA, 30303",,,,,no_match
"1 COCA COLA PLZ NW, MEDICAL SER, ATLANTA, GA, 30313",,,,,no_match
"1 CONCOURSE PKWY STE 620, SANDY SPRINGS, GA, 30328",13121,Fulton County,33.916519137041,-84.351118377196,matched
"1 DOCTORS PARK, CAIRO, GA, 39828",,,,,no_match
"1 FREEDOM WAY, 28, AUGUSTA, GA, 30904",13245,Richmond County,33.468379986159,-82.025381262317,matched
"1 FREEDOM WAY, AUGUSTA, GA, 30904",13245,Richmond County,33.468379986159,-82.025381262317,matched
"1 FREEDOM WAY, PCT A, AUGUSTA, GA, 30904",13245,Richmond County,33.468379986159,-82.025381262317,matched
"1 FREEDOM WAY, VA MEDICAL, AUGUSTA, GA, 30904",13245,Richmond County,33.468379986159,-82.025381262317,matched
"1 MAGNOLIA CT, MOULTRIE, GA, 31768",,,,,no_match
"1 MEADOWS PKWY STE B, VIDALIA, GA, 30474",,,,,no_match
"1 MEADOWS PKWY, VIDALIA, GA, 30474",,,,,no_match
"1 N TENNESSEE ST, CARTERSVILLE, GA, 30120",13015,Bartow County,34.165778787937,-84.793507411069,matched
"1 W ALTMAN ST, STATESBORO, GA, 30458",13031,Bulloch County,32.449493529991,-81.800165660807,matched
"10 DOCTORS ST, METTER, GA, 30439",13043,Candler County,32.407658775901,-82.066689418107,matched
"10 HURON ST, NEWNAN, GA, 30263",13077,Coweta County,33.36525737373,-84.775443856598,matched
"10 MUIRFIELD DR, COVINGTON, GA, 30016",13217,Newton County,33.530980401584,-83.950976403686,matched
"10 PARK PI NE, ATLANTA, GA, 30101",13121,Fulton County,33.792142243774,-84.374452741641,matched
"10 PARK PLACE NE, ATLANTA, GA, 30303",13121,Fulton County,33.75615445255,-84.387706649316,matched
"10 PARK PLACE SE, 5TH FLOOR, ATLANTA, GA, 30303",13121,Fulton County,33.75615445255,-84.387706649316,matched
"10 PARK PLACE SOUTH SE, ATLANTA, GA, 30303",13121,Fulton County,33.75615445255,-84.387706649316,matched
"100 6TH ST NE APT 616, ATLANTA, GA, 30308",13121,Fulton County,33.77740644513,-84.384344940375,matched
"100 BLUE FIN CIR STE 7, SAVANNAH, GA, 31410",13051,Chatham County,32.031652109981,-80.964742218934,matched
"100 COLLEGE AVE SE, GAINESVILLE, GA, 30501",13139,Hall County,34.295553386114,-83.823601397781,matched
"100 COLLEGE STATION DR, MACON, GA, 31206",13021,Bibb County,32.811520607366,-83.72792087161,matched
"100 COLONY PARK DR STE 300, CUMMING, GA, 30040",13117,Forsyth County,34.194323520891,-84.135544007848,matched
"100 DOCTORS DR STE 104, DOUGLAS, GA, 31533",,,,,no_match
"100 DOCTORS DR STE D, DOUGLAS, GA, 31533",,,,,no_match
"100 DOCTORS DR STE G, DOUGLAS, GA, 31533",,,,,no_match
"100 DOCTORS DR STE I, DOUGLAS, GA, 31533",,,,,no_match
"100 DOCTORS DR, SUITE G, DOUGLAS, GA, 31533",,,,,no_match
"100 DUPLAINVILLE RD, THE ROCK, GA, 30285",,,,,no_match
"100 EAGLES WALK, SUITE A, STOCKBRIDGE, GA, 30281",13151,Henry County,33.513033469352,-84.22929472003,matched
"100 FLORENCE AVE, DONALSONVILLE, GA, 39845",13253,Seminole County,31.05002913842,-84.881203230404,matched
"100 FRIST CT, COLUMBUS, GA, 31909",13215,Muscogee County,32.536045102359,-84.954715739147,matched
"100 GENERALS PL, CANTON, GA, 30114",,,,,no_match
"100 GENEVIEVE CT STE A, PEACHTREE CITY, GA, 30269",13113,Fayette County,33.430586678703,-84.555374185351,matched
"100 GENEVIEVE CT, PEACHTREE CITY, GA, 30269",13113,Fayette County,33.430586678703,-84.555374185351,matched
"100 GROSS CRESCENT CIR, FORT OGLETHORP, GA, 30742",,,,,no_match
"100 HALCYON CT, FAYETTEVILLE, GA, 30214",,,,,no_match
"100 HAMILL ST, OXFORD COLL, OXFORD, GA, 30054",13217,Newton County,33.619274716241,-83.869990233157,matched
"100 HARTSFIELD CENTER PKWY STE 500, ATLANTA, GA, 30354",13121,Fulton County,33.655019883024,-84.429178957497,matched
"100 HARTSFIELD CENTRE PKWY STE 500, ATLANTA, GA, 30354",13121,Fulton County,33.655019883024,-84.429178957497,matched
"100 HIGHWAY 18 W STE 106, BARNESVILLE, GA, 30204",,,,,no_match
"100 HOSPITAL CT, CALHOUN, GA, 30701",,,,,no_match
"100 JIM MASON CT # A, WARNER ROBINS, GA, 31088",,,,,no_match
"100 JIM MASON CT STE A, WARNER ROBINS, GA, 31088",,,,,no_match
"100 JIM MASON CT, STE A, WARNER ROBINS, GA, 31088",,,,,no_match
"100 JIM MASON CT, WARNER ROBINS, GA, 31088",,,,,no_match
"100 JOHN MADDOX DR NW STE 100, ROME, GA, 30165",13115,Floyd County,34.275884944427,-85.195360673412,matched
"100 LACY ST NW, MARIETTA, GA, 30060",13067,Cobb County,33.966522431946,-84.55535026939,matched
"100 LACY ST NW, SUITE 150, MARIETTA, GA, 30060",13067,Cobb County,33.966522431946,-84.55535026939,matched
"100 LAKE FORREST LN NE, ATLANTA, GA, 30342",13121,Fulton County,33.874628774822,-84.384698188579,matched
"100 LAKESHORE DR STE B, SAINT MARYS, GA, 31558",13039,Camden County,30.781178876191,-81.616342693971,matched
"100 LINE CREEK DR, PEACHTREE CITY, GA, 30269",13113,Fayette County,33.395690271414,-84.60192484402,matched
"100 MARINERS DR, SUITE D, KINGSLAND, GA, 31548",13039,Camden County,30.771202612433,-81.619448825032,matched
